subscriber,launch,open_rate,click_rate,purchase
137074446,Launch_3,1.0,0.57,True
137389801,Launch_3,0.14,0.14,False
137389801,Launch_4,0.0,0.0,False
137389801,Launch_5,0.0,0.0,False
137389801,Launch_6,0.57,0.0,False
137500983,Launch_4,1.0,0.0,False
137500983,Launch_5,0.43,0.0,False
137500983,Launch_6,0.14,0.0,False
137599712,Launch_4,0.0,0.0,False
137599712,Launch_5,0.33,0.33,False
137599712,Launch_6,0.0,0.0,False
137632663,Launch_3,1.0,0.33,False
137632665,Launch_3,0.0,0.0,False
137632665,Launch_4,0.17,0.17,False
137632665,Launch_5,1.0,0.29,False
137632666,Launch_3,0.0,0.0,False
137632666,Launch_4,1.0,1.0,True
137632667,Launch_3,0.0,0.0,False
137632667,Launch_4,1.0,0.0,False
137632667,Launch_5,0.29,0.0,False
137632667,Launch_6,0.86,0.0,False
137632668,Launch_3,0.67,0.0,False
137632668,Launch_4,0.17,0.0,False
137632670,Launch_3,0.67,0.0,False
137632670,Launch_4,0.17,0.0,False
137632670,Launch_5,0.14,0.0,False
137632670,Launch_6,0.14,0.0,False
137632671,Launch_3,1.0,0.0,False
137632671,Launch_4,1.0,0.0,False
137632671,Launch_5,1.0,0.0,False
137632673,Launch_3,0.33,0.17,False
137632673,Launch_4,1.0,0.33,False
137632673,Launch_5,0.29,0.0,False
137632673,Launch_6,0.0,0.0,False
137632674,Launch_3,0.67,0.0,False
137632674,Launch_4,0.0,0.0,False
137632674,Launch_5,0.14,0.0,False
137632674,Launch_6,0.71,0.0,False
137632675,Launch_3,0.33,0.0,False
137632675,Launch_4,0.0,0.0,False
137632675,Launch_5,0.14,0.0,False
137632675,Launch_6,0.0,0.0,False
137632677,Launch_3,0.0,0.0,False
137632677,Launch_4,0.0,0.0,False
137632679,Launch_3,0.33,0.0,False
137632679,Launch_4,0.5,0.17,False
137632679,Launch_5,1,1,True
137632680,Launch_3,0.67,0.0,False
137632680,Launch_4,0.17,0.0,False
137632680,Launch_5,0.14,0.0,False
137632680,Launch_6,0.29,0.0,False
137632681,Launch_4,0.5,0.0,False
137632681,Launch_5,0.14,0.0,False
137632681,Launch_6,0.71,0.0,False
137632683,Launch_3,0.0,0.0,False
137632683,Launch_4,0.0,0.0,False
137632683,Launch_5,0.43,0.0,False
137632683,Launch_6,0.0,0.0,False
137632684,Launch_3,0.5,0.0,False
137632684,Launch_4,0.33,0.0,False
137632684,Launch_5,0.14,0.0,False
137632684,Launch_6,0.14,0.0,False
137632685,Launch_3,0.67,0.17,False
137632685,Launch_4,0.17,0.17,False
137632685,Launch_5,0.0,0.0,False
137632685,Launch_6,0.14,0.0,False
137632687,Launch_3,0.0,0.0,False
137632687,Launch_4,0.17,0.0,False
137632687,Launch_5,0.43,0.29,False
137632687,Launch_6,0.0,0.0,False
137632688,Launch_3,0.0,0.0,False
137632688,Launch_4,0.0,0.0,False
137632688,Launch_5,0.14,0.0,False
137632688,Launch_6,0.43,0.0,False
137632690,Launch_3,0.17,0.0,False
137632690,Launch_4,0.0,0.0,False
137632690,Launch_5,0.0,0.0,False
137632690,Launch_6,0.0,0.0,False
137632691,Launch_3,0.17,0.0,False
137632691,Launch_4,0.17,0.0,False
137632691,Launch_5,0.14,0.0,False
137632692,Launch_3,0.0,0.0,False
137632692,Launch_4,0.5,0.17,False
137632692,Launch_5,0.43,0.14,False
137632692,Launch_6,1.0,0.0,False
137632693,Launch_3,0.83,0.0,False
137632693,Launch_4,1.0,0.0,False
137632693,Launch_5,1.0,0.0,False
137632693,Launch_6,0.43,0.0,False
137632694,Launch_3,0.17,0.17,False
137632694,Launch_4,0.17,0.0,False
137632694,Launch_5,0.0,0.0,False
137632694,Launch_6,0.0,0.0,False
137632695,Launch_3,0.83,0.17,False
137632695,Launch_4,0.0,0.0,False
137632696,Launch_3,0.83,0.0,False
137632696,Launch_4,0.33,0.0,False
137632696,Launch_5,0.86,0.0,False
137632696,Launch_6,0.0,0.0,False
137632697,Launch_3,0.5,0.0,False
137632697,Launch_4,0.0,0.0,False
137632697,Launch_5,0.29,0.0,False
137632697,Launch_6,0.43,0.0,False
137632698,Launch_3,0.17,0.0,False
137632698,Launch_4,0.83,0.17,False
137632698,Launch_5,0.14,0.0,False
137632698,Launch_6,0.29,0.0,False
137632699,Launch_3,0.33,0.17,False
137632699,Launch_4,0.33,0.33,False
137632701,Launch_3,0.83,0.17,False
137632701,Launch_4,0.17,0.0,False
137632701,Launch_5,0.57,0.0,False
137632701,Launch_6,0.57,0.0,False
137632702,Launch_3,0.17,0.0,False
137632702,Launch_4,0.0,0.0,False
137632702,Launch_5,0.14,0.0,False
137632702,Launch_6,0.0,0.0,False
137632703,Launch_3,1.0,0.0,False
137632704,Launch_3,0.33,0.17,False
137632704,Launch_4,0.0,0.0,False
137632704,Launch_5,0.29,0.29,False
137632704,Launch_6,0.14,0.0,False
137632705,Launch_3,0.83,0.0,False
137632705,Launch_4,0.33,0.0,False
137632705,Launch_5,0.86,0.0,False
137632705,Launch_6,0.43,0.0,False
137632706,Launch_3,0.5,0.0,False
137632706,Launch_4,0.33,0.0,False
137632706,Launch_5,0.71,0.0,False
137632707,Launch_3,1.0,0.0,False
137632707,Launch_4,1.0,0.0,False
137632707,Launch_5,1.0,0.14,False
137632707,Launch_6,1.0,0.0,False
137632708,Launch_3,1.0,1.0,False
137632710,Launch_3,0.67,0.0,False
137632710,Launch_4,0.67,0.17,False
137632710,Launch_5,0.5,0.25,False
137632711,Launch_3,0.0,0.0,False
137632711,Launch_4,0.17,0.0,False
137632711,Launch_5,0.5,0.33,True
137632716,Launch_3,0.5,0.0,False
137632716,Launch_4,0.0,0.0,False
137632716,Launch_5,0.43,0.0,False
137632716,Launch_6,0.14,0.0,False
137632718,Launch_3,0.67,0.17,False
137632718,Launch_4,0.17,0.0,False
137632718,Launch_5,0.29,0.0,False
137632718,Launch_6,0.0,0.0,False
137632719,Launch_3,0.5,0.0,False
137632719,Launch_4,0.83,0.17,False
137632719,Launch_5,1.0,0.0,False
137632719,Launch_6,1.0,0.0,False
137632720,Launch_3,0.33,0.0,False
137632720,Launch_4,0.17,0.0,False
137632720,Launch_5,0.0,0.0,False
137632720,Launch_6,0.14,0.0,False
137632721,Launch_3,0.17,0.17,False
137632721,Launch_4,0.17,0.0,False
137632721,Launch_5,0.14,0.0,False
137632721,Launch_6,0.57,0.0,False
137632722,Launch_3,0.33,0.0,False
137632722,Launch_4,0.17,0.0,False
137632722,Launch_5,0.14,0.0,False
137632722,Launch_6,0.0,0.0,False
137632723,Launch_3,0.33,0.17,False
137632723,Launch_4,0.83,0.0,False
137632723,Launch_5,0.71,0.14,False
137632723,Launch_6,0.71,0.0,False
137632724,Launch_3,0.17,0.0,False
137632724,Launch_4,0.0,0.0,False
137632724,Launch_5,0.14,0.14,False
137632724,Launch_6,0.14,0.0,False
137632725,Launch_3,0.0,0.0,False
137632725,Launch_4,0.0,0.0,False
137632725,Launch_5,0.0,0.0,False
137632725,Launch_6,0.0,0.0,False
137632727,Launch_3,0.0,0.0,False
137632727,Launch_4,0.0,0.0,False
137632727,Launch_5,0.29,0.29,False
137632727,Launch_6,0.43,0.43,True
137632728,Launch_3,0.0,0.0,False
137632728,Launch_4,0.67,0.0,False
137632728,Launch_5,0.29,0.0,False
137632728,Launch_6,0.57,0.0,False
137632730,Launch_3,0.0,0.0,False
137632730,Launch_4,0.5,0.0,False
137632730,Launch_5,1.0,0.0,False
137632730,Launch_6,1.0,0.0,False
137632731,Launch_3,0.5,0.0,False
137632731,Launch_4,1.0,1.0,False
137632731,Launch_5,0.25,0.25,False
137632732,Launch_3,0.5,0.0,False
137632733,Launch_3,0.0,0.0,False
137632734,Launch_3,0.17,0.0,False
137632734,Launch_4,0.0,0.0,False
137632735,Launch_3,0.0,0.0,False
137632735,Launch_4,0.0,0.0,False
137632735,Launch_5,0.14,0.0,False
137632735,Launch_6,0.14,0.0,False
137632738,Launch_3,0.0,0.0,False
137632738,Launch_4,0.0,0.0,False
137632738,Launch_5,0.0,0.0,False
137632738,Launch_6,0.0,0.0,False
137632739,Launch_3,0.83,0.17,False
137632739,Launch_4,0.5,0.17,False
137632739,Launch_5,0.57,0.0,False
137632739,Launch_6,0.29,0.0,False
137632740,Launch_3,0.0,0.0,False
137632740,Launch_4,1.0,0.33,False
137632740,Launch_5,0.14,0.14,False
137632740,Launch_6,1.0,0.14,False
137632741,Launch_3,0.0,0.0,False
137632741,Launch_4,0.0,0.0,False
137632741,Launch_5,0.0,0.0,False
137632742,Launch_3,0.0,0.0,False
137632742,Launch_4,0.33,0.0,False
137632743,Launch_3,0.0,0.0,False
137632743,Launch_4,0.0,0.0,False
137632743,Launch_5,0.14,0.0,False
137632743,Launch_6,0.29,0.0,False
137632745,Evergreen_2,0.09,0.0,False
137632746,Launch_3,0.83,0.0,False
137632746,Launch_4,0.0,0.0,False
137632746,Launch_5,0.0,0.0,False
137632746,Launch_6,0.0,0.0,False
137632748,Launch_3,0.33,0.0,False
137632748,Launch_4,0.33,0.0,False
137632750,Launch_3,0.33,0.0,False
137632750,Launch_4,0.0,0.0,False
137632751,Launch_3,0.0,0.0,False
137632751,Launch_4,0.17,0.0,False
137632751,Launch_5,0.0,0.0,False
137632751,Launch_6,0.0,0.0,False
137632752,Launch_3,0.83,0.0,False
137632752,Launch_4,1.0,0.0,False
137632752,Launch_5,1.0,0.0,False
137632753,Launch_3,0.0,0.0,False
137632753,Launch_4,0.33,0.0,False
137632754,Launch_3,0.33,0.0,False
137632754,Launch_4,0.0,0.0,False
137632755,Launch_3,0.5,0.17,False
137632755,Launch_4,0.0,0.0,False
137632755,Launch_5,0.43,0.14,False
137632755,Launch_6,0.57,0.0,False
137632756,Launch_3,1.0,0.0,False
137632756,Launch_4,0.83,0.17,False
137632756,Launch_5,0.43,0.0,False
137632756,Launch_6,0.86,0.0,False
137632757,Launch_3,0.67,0.33,False
137632757,Launch_4,0.17,0.0,False
137632757,Launch_5,0.71,0.14,False
137632757,Launch_6,0.29,0.0,False
137632758,Launch_3,0.67,0.17,True
137632759,Launch_3,0.67,0.0,False
137632759,Launch_4,0.0,0.0,False
137632759,Launch_5,0.14,0.0,False
137632759,Launch_6,0.0,0.0,False
137632760,Launch_3,0.67,0.17,False
137632760,Launch_4,0.83,0.0,False
137632760,Launch_5,0.0,0.0,False
137632760,Launch_6,0.71,0.0,False
137632761,Launch_3,0.83,0.17,False
137632761,Launch_4,0.67,0.0,False
137632761,Launch_5,0.57,0.0,False
137632761,Launch_6,0.86,0.0,False
137632762,Launch_3,0.33,0.0,False
137632762,Launch_4,0.0,0.0,False
137632762,Launch_5,1.0,0.33,False
137632763,Launch_3,0.25,0.25,False
137632763,Launch_4,0.0,0.0,False
137632763,Launch_5,0.14,0.0,False
137632764,Launch_3,0.0,0.0,False
137632764,Launch_4,0.0,0.0,False
137632764,Launch_5,0.0,0.0,False
137632765,Launch_3,0.67,0.0,False
137632765,Launch_4,0.0,0.0,False
137632765,Launch_5,0.14,0.0,False
137632765,Launch_6,0.71,0.0,False
137632766,Launch_3,0.17,0.17,False
137632769,Evergreen_2,0.18,0.0,False
