subscriber,subscription_length,launch,optin,source,state,emails,open_rate,click_rate,rec_open_rate,rec_click_rate,course_open_rate,course_click_rate,past_course_open_rate,past_course_click_rate,purchase_probability,purchase
137074446,37,Launch_3,Tools,MCS Page,active,17,0.76,0.29,0.71,0.21,1.0,0.57,0.4693398692810468,0.1440803621958105,1,True
137389801,45,Launch_3,Tools,MCS Page,active,22,0.55,0.18,0.47,0.16,0.14,0.14,0.4693398692810468,0.1440803621958105,0.002863752014530759,False
137389801,225,Launch_4,Tools,MCS Page,active,46,0.35,0.09,0.25,0.0,0.0,0.0,0.14,0.14,0.0008970892380363732,False
137389801,506,Launch_5,Tools,MCS Page,active,72,0.38,0.06,1.0,0.0,0.0,0.0,0.15,0.08,0.0008970892380363732,False
137389801,662,Launch_6,Tools,MCS Page,active,97,0.32,0.04,1.0,0.0,0.57,0.0,0.1,0.05,0.0031362638399289066,False
137500983,397,Launch_4,WAF ebook,MCS Page,active,26,0.88,0.12,0.5,0.0,1.0,0.0,0.4693398692810468,0.1440803621958105,0.008036636713320078,False
137500983,678,Launch_5,WAF ebook,MCS Page,active,52,0.88,0.08,0.5,0.0,0.43,0.0,1.0,0.0,0.002306876328973986,False
137500983,834,Launch_6,WAF ebook,MCS Page,active,77,0.77,0.06,0.33,0.0,0.14,0.0,0.69,0.0,0.0012202381972413708,False
137599712,215,Launch_4,WAF ebook,MCS Page,active,26,0.08,0.04,0.25,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
137599712,496,Launch_5,WAF ebook,MCS Page,active,52,0.08,0.02,0.0,0.0,0.33,0.33,0.0,0.0,0.013723856131255357,False
137599712,652,Launch_6,WAF ebook,MCS Page,active,73,0.07,0.03,0.0,0.0,0.0,0.0,0.11,0.11,0.0008970892380363732,False
137632663,217,Launch_3,MailChimp,MailChimp,cancelled,4,1.0,0.0,1.0,0.0,1.0,0.33,0.4693398692810468,0.1440803621958105,0.057273042321651826,False
137632665,413,Launch_3,MailChimp,FB Ad,active,4,0.0,0.0,0.0,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
137632665,593,Launch_4,MailChimp,FB Ad,active,44,0.5,0.07,0.0,0.0,0.17,0.17,1.0,0.0,0.0036710339951612787,False
137632665,874,Launch_5,MailChimp,FB Ad,active,115,0.98,0.09,1.0,0.0,1.0,0.29,1.0,0.08,0.045427055228168756,False
137632666,328,Launch_3,MailChimp,MCS Page,active,4,0.25,0.0,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
137632666,508,Launch_4,MailChimp,MCS Page,active,33,0.55,0.0,0.75,0.0,1.0,1.0,0.0,0.0,1,True
137632667,411,Launch_3,MailChimp,MailChimp,active,4,0.5,0.0,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
137632667,591,Launch_4,MailChimp,MailChimp,active,44,0.77,0.02,1.0,0.0,1.0,0.0,0.83,0.0,0.008036636713320078,False
137632667,872,Launch_5,MailChimp,MailChimp,active,115,0.85,0.02,0.5,0.0,0.29,0.0,0.92,0.0,0.0016964477603485777,False
137632667,1028,Launch_6,MailChimp,MailChimp,active,149,0.75,0.01,0.33,0.0,0.86,0.0,0.68,0.0,0.005919036286063793,False
137632668,411,Launch_3,MailChimp,MailChimp,cancelled,4,0.75,0.0,0.67,0.0,0.67,0.0,0.4693398692810468,0.1440803621958105,0.0039049269460638253,False
137632668,591,Launch_4,MailChimp,MailChimp,cancelled,33,0.55,0.0,0.25,0.0,0.17,0.0,0.67,0.0,0.0013033740291354564,False
137632670,308,Launch_3,MailChimp,MailChimp,active,4,0.25,0.0,0.0,0.0,0.67,0.0,0.4693398692810468,0.1440803621958105,0.0039049269460638253,False
137632670,488,Launch_4,MailChimp,MailChimp,active,33,0.42,0.0,0.25,0.0,0.17,0.0,0.67,0.0,0.0013033740291354564,False
137632670,769,Launch_5,MailChimp,MailChimp,active,59,0.27,0.0,0.0,0.0,0.14,0.0,0.42,0.0,0.0012202381972413708,False
137632670,925,Launch_6,MailChimp,MailChimp,active,84,0.27,0.0,0.33,0.0,0.14,0.0,0.32,0.0,0.0012202381972413708,False
137632671,411,Launch_3,MailChimp,MailChimp,cancelled,4,1.0,0.0,1.0,0.0,1.0,0.0,0.4693398692810468,0.1440803621958105,0.008036636713320078,False
137632671,591,Launch_4,MailChimp,MailChimp,cancelled,33,1.0,0.03,1.0,0.0,1.0,0.0,1.0,0.0,0.008036636713320078,False
137632671,872,Launch_5,MailChimp,MailChimp,cancelled,59,0.98,0.02,1.0,0.0,1.0,0.0,1.0,0.0,0.008036636713320078,False
137632673,102,Launch_3,MailChimp,MailChimp,active,4,1.0,0.0,1.0,0.0,0.33,0.17,0.4693398692810468,0.1440803621958105,0.0052116216283291505,False
137632673,282,Launch_4,MailChimp,MailChimp,active,33,0.39,0.12,0.5,0.0,1.0,0.33,0.33,0.17,0.057273042321651826,False
137632673,563,Launch_5,MailChimp,MailChimp,active,59,0.41,0.12,0.0,0.0,0.29,0.0,0.67,0.25,0.0016964477603485777,False
137632673,719,Launch_6,MailChimp,MailChimp,active,84,0.35,0.12,0.0,0.0,0.0,0.0,0.53,0.16,0.0008970892380363732,False
137632674,411,Launch_3,MailChimp,MailChimp,active,4,0.25,0.0,0.33,0.0,0.67,0.0,0.4693398692810468,0.1440803621958105,0.0039049269460638253,False
137632674,591,Launch_4,MailChimp,MailChimp,active,33,0.27,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0008970892380363732,False
137632674,872,Launch_5,MailChimp,MailChimp,active,59,0.42,0.0,1.0,0.0,0.14,0.0,0.33,0.0,0.0012202381972413708,False
137632674,1028,Launch_6,MailChimp,MailChimp,active,84,0.4,0.0,1.0,0.0,0.71,0.0,0.26,0.0,0.0042625657132823415,False
137632675,410,Launch_3,MailChimp,MailChimp,active,4,0.0,0.0,0.0,0.0,0.33,0.0,0.4693398692810468,0.1440803621958105,0.0018521956560712699,False
137632675,590,Launch_4,MailChimp,MailChimp,active,33,0.12,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0008970892380363732,False
137632675,871,Launch_5,MailChimp,MailChimp,active,59,0.12,0.0,0.0,0.0,0.14,0.0,0.17,0.0,0.0012202381972413708,False
137632675,1027,Launch_6,MailChimp,MailChimp,active,84,0.1,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0008970892380363732,False
137632677,411,Launch_3,MailChimp,MailChimp,cancelled,4,0.25,0.0,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
137632677,591,Launch_4,MailChimp,MailChimp,cancelled,33,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008970892380363732,False
137632679,411,Launch_3,MailChimp,MCS Page,active,4,0.0,0.0,0.0,0.0,0.33,0.0,0.4693398692810468,0.1440803621958105,0.0018521956560712699,False
137632679,591,Launch_4,MailChimp,MCS Page,active,43,0.44,0.14,0.88,0.25,0.5,0.17,0.33,0.0,0.0075571447751846986,False
137632680,411,Launch_3,MailChimp,MailChimp,active,4,0.25,0.0,0.33,0.0,0.67,0.0,0.4693398692810468,0.1440803621958105,0.0039049269460638253,False
137632680,591,Launch_4,MailChimp,MailChimp,active,33,0.39,0.0,0.0,0.0,0.17,0.0,0.67,0.0,0.0013033740291354564,False
137632680,872,Launch_5,MailChimp,MailChimp,active,59,0.27,0.0,1.0,0.0,0.14,0.0,0.42,0.0,0.0012202381972413708,False
137632680,1028,Launch_6,MailChimp,MailChimp,active,84,0.24,0.0,0.0,0.0,0.29,0.0,0.32,0.0,0.0016964477603485777,False
137632681,591,Launch_4,MailChimp,MailChimp,active,25,0.28,0.08,0.25,0.0,0.5,0.0,0.4693398692810468,0.1440803621958105,0.0026898761927963187,False
137632681,872,Launch_5,MailChimp,MailChimp,active,51,0.35,0.04,0.5,0.0,0.14,0.0,0.5,0.0,0.0012202381972413708,False
137632681,1028,Launch_6,MailChimp,MailChimp,active,76,0.47,0.03,0.33,0.0,0.71,0.0,0.31,0.0,0.0042625657132823415,False
137632683,411,Launch_3,MailChimp,MailChimp,bounced,4,0.25,0.0,0.33,0.0,0.0,0.0,0.4693398692810468,0.1440803621958105,0.0008970892380363732,False
137632683,591,Launch_4,MailChimp,MailChimp,bounced,33,0.15,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0008970892380363732,False
